,market,time,price_open,price_close,price_high,price_low,vwap,volume,candle_usd_volume,candle_trades_count,exchange,asset,base_pair
0,coinbase-bch-usd-spot,2023-06-30 00:00:00+00:00,253.46,304.34,329.71,252.08,296.2382415000057,452387.27146232,134014409.77498336,222559,coinbase,bch,usd
1,coinbase-bch-usd-spot,2023-07-01 00:00:00+00:00,304.35,291.31,310.21,280.0,292.3591368444366,152290.07453233,44523394.740246914,94024,coinbase,bch,usd
2,coinbase-bch-usd-spot,2023-07-02 00:00:00+00:00,291.53,299.12,308.71,268.25,289.5382681929201,170107.71035886,49252691.86356718,102861,coinbase,bch,usd
3,coinbase-bch-usd-spot,2023-07-03 00:00:00+00:00,299.12,291.95,302.61,280.0,290.1848298091118,123412.32735584,35812385.210100815,70159,coinbase,bch,usd
4,coinbase-bch-usd-spot,2023-07-04 00:00:00+00:00,291.92,272.41,293.26,271.2,280.2458429000136,88101.38290471,24690046.312787294,57314,coinbase,bch,usd
5,coinbase-bch-usd-spot,2023-07-05 00:00:00+00:00,272.41,272.14,278.72,248.43,263.3655951862891,171259.1871267,45103777.74874341,79859,coinbase,bch,usd
6,coinbase-bch-usd-spot,2023-07-06 00:00:00+00:00,271.94,274.92,303.52,268.03,286.2629023519017,248123.07586519,71028431.83765039,107792,coinbase,bch,usd
7,coinbase-bch-usd-spot,2023-07-07 00:00:00+00:00,275.14,278.52,289.21,272.33,281.2309499996505,103836.07211697,29201917.20568769,59825,coinbase,bch,usd
8,coinbase-bch-usd-spot,2023-07-08 00:00:00+00:00,278.54,271.94,283.14,261.82,270.6058658661362,55440.05760539,15002404.791975033,38191,coinbase,bch,usd
9,coinbase-bch-usd-spot,2023-07-09 00:00:00+00:00,271.94,265.61,279.4,262.09,270.1160044523074,48092.30954955,12990502.500407996,33891,coinbase,bch,usd
10,coinbase-bch-usd-spot,2023-07-10 00:00:00+00:00,265.63,274.88,287.68,258.36,273.0846209984556,110404.71977518,30149831.056245726,61616,coinbase,bch,usd
11,coinbase-bch-usd-spot,2023-07-11 00:00:00+00:00,274.88,274.05,277.58,270.24,273.9458759881676,38439.94478494,10530464.347047184,28766,coinbase,bch,usd
12,coinbase-bch-usd-spot,2023-07-12 00:00:00+00:00,274.07,282.16,295.0,272.76,282.5759547444981,105472.98212166,29804128.62277745,56856,coinbase,bch,usd
13,coinbase-bch-usd-spot,2023-07-13 00:00:00+00:00,282.23,274.18,292.39,269.11,281.4482524554615,123100.83467429,34646514.7948876,78404,coinbase,bch,usd
14,coinbase-bch-usd-spot,2023-07-14 00:00:00+00:00,274.18,264.5,278.27,254.19,268.5582621049281,88610.77827666,23797156.617744923,68716,coinbase,bch,usd
15,coinbase-bch-usd-spot,2023-07-15 00:00:00+00:00,264.11,253.48,264.12,245.78,252.9483899994652,45383.79546942,11479757.996054811,32368,coinbase,bch,usd
16,coinbase-bch-usd-spot,2023-07-16 00:00:00+00:00,253.43,250.03,261.31,247.52,255.8017793607807,53705.64981387,13738000.784114925,36138,coinbase,bch,usd
17,coinbase-bch-usd-spot,2023-07-17 00:00:00+00:00,249.96,242.14,254.67,235.61,243.337657749284,61312.04208107,14919528.711833108,38849,coinbase,bch,usd
18,coinbase-bch-usd-spot,2023-07-18 00:00:00+00:00,242.05,243.7,248.08,231.61,240.5504838000181,61793.4581231,14864446.247187862,38898,coinbase,bch,usd
19,coinbase-bch-usd-spot,2023-07-19 00:00:00+00:00,243.75,243.98,252.12,241.16,246.6327375803865,36664.7069788,9042717.054764146,27735,coinbase,bch,usd
20,coinbase-bch-usd-spot,2023-07-20 00:00:00+00:00,243.93,244.23,255.25,240.26,246.126419107851,43050.16943806,10595784.045775952,27546,coinbase,bch,usd
21,coinbase-bch-usd-spot,2023-07-21 00:00:00+00:00,244.2,246.14,248.22,241.49,244.9381913280183,26389.85140138,6463882.471669187,18110,coinbase,bch,usd
22,coinbase-bch-usd-spot,2023-07-22 00:00:00+00:00,246.1,239.6,247.85,237.36,243.7645332840517,21093.77081582,5141913.198119112,14280,coinbase,bch,usd
23,coinbase-bch-usd-spot,2023-07-23 00:00:00+00:00,239.55,249.51,255.6,238.61,247.6854967919426,35789.99346361,8864662.31121462,23362,coinbase,bch,usd
24,coinbase-bch-usd-spot,2023-07-24 00:00:00+00:00,249.51,238.49,253.89,235.78,243.2923648982007,41462.26835352,10087453.321771707,26063,coinbase,bch,usd
25,coinbase-bch-usd-spot,2023-07-25 00:00:00+00:00,238.46,237.04,239.64,231.94,235.9913798659843,28306.32097237,6680047.745199045,18529,coinbase,bch,usd
26,coinbase-bch-usd-spot,2023-07-26 00:00:00+00:00,237.05,242.06,244.77,233.6,239.7114597220517,49722.09377014,11918955.678076994,27217,coinbase,bch,usd
27,coinbase-bch-usd-spot,2023-07-27 00:00:00+00:00,242.11,245.24,249.52,240.67,244.882230461277,51554.77353863,12624847.935065733,27831,coinbase,bch,usd
28,coinbase-bch-usd-spot,2023-07-28 00:00:00+00:00,245.22,240.96,245.48,240.75,242.5299019767352,27491.77910415,6667578.491295557,15279,coinbase,bch,usd
29,coinbase-bch-usd-spot,2023-07-29 00:00:00+00:00,240.97,241.94,242.52,238.34,240.454911383786,23545.40062089,5661607.2197918445,13033,coinbase,bch,usd
30,coinbase-bch-usd-spot,2023-07-30 00:00:00+00:00,242.0,253.02,266.29,241.1,249.8853880962688,59551.04462156,14880935.89679674,34670,coinbase,bch,usd
31,coinbase-bch-usd-spot,2023-07-31 00:00:00+00:00,253.0,247.92,259.49,242.42,252.3780136134081,73540.47977843,18560000.206657168,38042,coinbase,bch,usd
32,coinbase-bch-usd-spot,2023-08-01 00:00:00+00:00,247.92,244.92,248.84,238.56,242.9588392978901,41151.26579423,9998063.773005089,26373,coinbase,bch,usd
33,coinbase-bch-usd-spot,2023-08-02 00:00:00+00:00,244.87,229.06,246.8,220.91,234.6934123151768,43563.96902245,10224176.543871447,25762,coinbase,bch,usd
34,coinbase-bch-usd-spot,2023-08-03 00:00:00+00:00,229.03,225.07,231.59,222.63,228.1287008402277,28568.95199869,6517397.903827976,19498,coinbase,bch,usd
35,coinbase-bch-usd-spot,2023-08-04 00:00:00+00:00,225.08,227.32,229.79,220.56,225.89540362479,32490.12470756,7339369.834634026,21500,coinbase,bch,usd
36,coinbase-bch-usd-spot,2023-08-05 00:00:00+00:00,227.39,226.57,228.68,222.99,225.4163798738676,25615.43721872,5774139.126730192,14209,coinbase,bch,usd
37,coinbase-bch-usd-spot,2023-08-06 00:00:00+00:00,226.59,222.71,228.33,221.23,224.4608591977125,17685.30554215,3969658.877165056,10498,coinbase,bch,usd
38,coinbase-bch-usd-spot,2023-08-07 00:00:00+00:00,222.7,237.48,245.04,217.45,234.0582885789088,84517.69829167,19782067.816776846,41199,coinbase,bch,usd
39,coinbase-bch-usd-spot,2023-08-08 00:00:00+00:00,237.47,238.6,249.3,234.46,240.0379247147012,63853.95919468,15327371.8499082,33033,coinbase,bch,usd
40,coinbase-bch-usd-spot,2023-08-09 00:00:00+00:00,238.63,238.61,239.8,233.62,236.6313949060648,28255.84573057,6686220.189475354,15607,coinbase,bch,usd
41,coinbase-bch-usd-spot,2023-08-10 00:00:00+00:00,238.64,231.75,240.3,230.25,234.4285995209554,27063.94459014,6344562.627779257,14967,coinbase,bch,usd
42,coinbase-bch-usd-spot,2023-08-11 00:00:00+00:00,231.74,228.79,232.77,227.05,229.039991164801,18616.70774387,4263970.577173668,11230,coinbase,bch,usd
